LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
40.938,41.782,44.694,0.158,0.300,0.350,0.208,0.331,-0.051,0.259,0.224,0.229,0.569,0.402
39.797,40.427,41.622,0.275,0.280,0.275,0.239,0.277,-0.062,0.259,0.224,0.229,0.521,0.392
40.245,39.871,42.021,0.289,0.351,0.274,0.240,0.284,-0.059,0.291,0.257,0.216,0.476,0.385
40.951,40.669,43.160,0.230,0.276,0.232,0.217,0.241,-0.015,0.291,0.257,0.216,0.428,0.379
41.010,40.117,43.945,0.231,0.333,0.208,0.206,0.313,-0.018,0.232,0.190,0.209,0.380,0.376
41.587,41.525,44.713,0.180,0.297,0.185,0.245,0.289,-0.049,0.231,0.190,0.208,0.335,0.376
41.896,41.313,44.691,0.303,0.275,0.318,0.308,0.305,-0.060,0.140,0.117,0.137,0.293,0.377
39.174,40.930,45.059,0.376,0.292,0.319,0.296,0.309,-0.059,0.140,0.117,0.137,0.263,0.380
41.101,40.773,45.452,0.424,0.291,0.239,0.344,0.296,-0.018,0.210,0.211,0.190,0.252,0.385
38.619,38.203,40.066,0.386,0.439,0.367,0.293,0.341,-0.096,0.134,0.122,0.124,0.251,0.394
31.636,29.811,30.578,-0.044,-0.041,-0.052,-0.245,-0.185,-0.058,0.123,0.109,0.114,0.263,0.407
43.573,40.254,44.359,0.140,0.143,0.129,0.249,0.223,0.007,0.105,0.058,0.064,0.324,0.922
43.247,40.992,42.401,0.244,0.191,0.250,0.296,0.275,-0.015,0.104,0.066,0.067,0.330,0.889
41.744,40.054,42.010,0.289,0.349,0.315,0.311,0.323,-0.053,0.104,0.066,0.067,0.336,0.861
44.999,41.483,45.472,0.190,0.175,0.180,0.288,0.267,0.025,0.094,0.061,0.072,0.343,0.828
43.070,39.907,42.071,0.246,0.189,0.265,0.309,0.269,-0.027,0.094,0.061,0.072,0.357,0.796
42.221,41.324,45.094,0.227,0.210,0.339,0.292,0.282,-0.057,0.108,0.072,0.079,0.382,0.770
41.432,41.795,41.634,0.224,0.238,0.196,0.289,0.303,0.014,0.108,0.072,0.080,0.406,0.738
43.530,42.488,42.815,0.274,0.218,0.220,0.266,0.267,-0.019,0.120,0.087,0.090,0.430,0.708
45.446,42.651,44.339,0.201,0.235,0.220,0.254,0.289,-0.015,0.120,0.087,0.090,0.455,0.682
40.938,41.350,43.592,0.220,0.210,0.186,0.267,0.272,-0.012,0.118,0.095,0.080,0.480,0.653
41.139,40.566,42.744,0.358,0.467,0.393,0.341,0.366,-0.108,0.118,0.095,0.080,0.507,0.624
43.572,41.052,45.105,0.191,0.324,0.142,0.251,0.310,0.028,0.131,0.106,0.076,0.535,0.597
41.376,41.370,43.560,0.296,0.325,0.218,0.274,0.307,-0.029,0.144,0.108,0.091,0.567,0.575
41.241,41.133,43.200,0.262,0.332,0.174,0.262,0.314,-0.007,0.144,0.108,0.092,0.599,0.548
42.975,42.236,43.969,0.158,0.213,0.135,0.236,0.281,0.014,0.199,0.163,0.129,0.628,0.522
43.076,41.957,42.440,0.373,0.362,0.163,0.330,0.337,0.014,0.200,0.163,0.129,0.660,0.500
41.880,41.074,42.393,0.263,0.359,0.252,0.253,0.312,-0.044,0.214,0.198,0.145,0.692,0.476
40.320,40.421,41.660,0.234,0.218,0.244,0.212,0.232,-0.042,0.214,0.198,0.146,0.724,0.453
40.622,41.277,41.985,0.259,0.319,0.385,0.265,0.315,-0.092,0.201,0.175,0.200,0.747,0.436
40.999,41.436,43.198,0.325,0.335,0.275,0.300,0.329,-0.036,0.201,0.175,0.200,0.685,0.417
40.189,41.260,41.678,0.253,0.264,0.248,0.282,0.326,-0.018,0.264,0.253,0.220,0.626,0.400
39.280,39.478,39.314,0.230,0.246,0.272,0.212,0.230,-0.048,0.265,0.254,0.220,0.574,0.387
39.474,39.501,42.385,0.454,0.465,0.305,0.370,0.393,-0.047,0.259,0.224,0.230,0.521,0.373
39.564,40.505,43.158,0.296,0.296,0.389,0.307,0.349,-0.074,0.259,0.224,0.230,0.472,0.362
39.199,39.702,45.090,0.410,0.242,0.393,0.341,0.279,-0.073,0.291,0.258,0.217,0.427,0.354
41.798,39.508,38.068,0.230,0.336,0.360,0.250,0.326,-0.091,0.291,0.258,0.217,0.379,0.348
43.596,38.503,43.158,0.245,0.326,0.192,0.294,0.332,-0.003,0.232,0.191,0.209,0.331,0.345
42.346,41.398,45.076,0.249,0.267,0.242,0.279,0.294,-0.018,0.232,0.190,0.209,0.287,0.345
40.644,40.397,45.828,0.303,0.363,0.339,0.289,0.322,-0.074,0.140,0.117,0.137,0.240,0.345
43.487,40.534,42.408,0.253,0.305,0.202,0.295,0.320,-0.014,0.140,0.117,0.137,0.203,0.349
41.558,40.330,43.203,0.168,0.245,0.218,0.214,0.274,-0.043,0.210,0.212,0.190,0.188,0.354
40.670,38.749,44.707,0.293,0.366,0.272,0.273,0.306,-0.040,0.168,0.162,0.156,0.187,0.365
44.242,40.204,42.804,0.247,0.295,0.209,0.294,0.311,-0.011,0.124,0.067,0.074,0.261,0.908
41.801,40.528,43.574,0.302,0.177,0.210,0.317,0.274,-0.012,0.123,0.074,0.075,0.266,0.874
41.541,38.191,42.056,0.205,0.275,0.191,0.292,0.318,0.005,0.123,0.074,0.075,0.272,0.846
42.833,40.881,43.935,0.206,0.172,0.247,0.272,0.265,-0.011,0.131,0.084,0.078,0.279,0.813
39.554,40.007,41.230,0.353,0.342,0.302,0.324,0.338,-0.039,0.131,0.084,0.078,0.296,0.780
42.411,42.308,44.704,0.236,0.235,0.220,0.285,0.302,-0.003,0.135,0.085,0.078,0.321,0.753
39.387,39.945,43.184,0.388,0.424,0.216,0.306,0.361,-0.013,0.135,0.085,0.078,0.346,0.721
41.150,39.730,43.489,0.250,0.288,0.262,0.261,0.298,-0.028,0.095,0.071,0.084,0.369,0.690
42.203,41.313,42.053,0.235,0.226,0.162,0.268,0.247,0.000,0.095,0.071,0.084,0.394,0.664
42.624,40.636,43.963,0.265,0.204,0.164,0.279,0.267,0.017,0.074,0.065,0.084,0.419,0.633
43.728,43.589,44.344,0.209,0.213,0.190,0.291,0.294,0.007,0.074,0.065,0.084,0.449,0.604
44.188,43.537,43.589,0.231,0.181,0.196,0.278,0.254,-0.011,0.085,0.074,0.093,0.478,0.576
43.148,41.359,42.042,0.216,0.314,0.250,0.272,0.339,-0.021,0.131,0.090,0.128,0.509,0.553
41.816,42.217,42.812,0.180,0.207,0.272,0.250,0.282,-0.029,0.131,0.090,0.128,0.541,0.526
40.046,41.924,42.813,0.265,0.250,0.149,0.253,0.274,-0.035,0.199,0.163,0.129,0.570,0.499
39.442,40.447,40.911,0.417,0.361,0.200,0.352,0.341,-0.053,0.200,0.163,0.129,0.602,0.477
40.381,41.883,43.176,0.323,0.296,0.351,0.298,0.323,-0.061,0.214,0.198,0.146,0.635,0.452
40.467,41.441,41.662,0.314,0.259,0.247,0.303,0.294,-0.021,0.214,0.199,0.146,0.670,0.428
39.882,40.672,43.210,0.195,0.229,0.302,0.184,0.223,-0.047,0.201,0.175,0.200,0.714,0.409
41.210,43.053,44.707,0.273,0.289,0.182,0.288,0.326,0.005,0.202,0.175,0.200,0.651,0.390
40.731,42.889,43.588,0.184,0.199,0.149,0.264,0.284,0.035,0.265,0.254,0.221,0.588,0.372
41.082,40.848,40.514,0.122,0.176,0.218,0.149,0.196,-0.031,0.265,0.254,0.220,0.532,0.358
37.635,38.165,38.503,0.448,0.475,0.353,0.321,0.355,-0.091,0.259,0.224,0.230,0.476,0.343
36.123,36.094,41.679,0.376,0.167,0.183,0.199,0.067,-0.019,0.260,0.224,0.230,0.424,0.331
40.619,39.982,41.555,0.232,0.389,0.418,0.227,0.355,-0.113,0.291,0.258,0.217,0.379,0.324
41.277,41.122,41.287,0.203,0.201,0.186,0.199,0.200,-0.017,0.291,0.258,0.217,0.330,0.317
41.112,39.377,44.276,0.269,0.365,0.235,0.263,0.342,-0.033,0.232,0.191,0.209,0.282,0.314
39.584,39.551,45.046,0.232,0.322,0.171,0.225,0.302,0.000,0.232,0.191,0.209,0.239,0.314
40.257,40.641,46.574,0.267,0.239,0.272,0.286,0.253,-0.039,0.140,0.117,0.137,0.190,0.314
39.614,39.659,44.337,0.228,0.275,0.282,0.233,0.279,-0.042,0.140,0.117,0.137,0.146,0.318
39.911,38.843,42.409,0.222,0.250,0.258,0.225,0.252,-0.041,0.210,0.212,0.191,0.124,0.324
42.894,40.158,41.288,0.146,0.154,0.070,0.244,0.221,-0.029,0.171,0.171,0.163,0.123,0.335
43.652,40.551,43.593,0.187,0.178,0.176,0.267,0.255,-0.007,0.124,0.067,0.074,0.197,0.894
42.113,39.385,42.819,0.314,0.229,0.177,0.320,0.292,0.010,0.123,0.074,0.075,0.202,0.860
40.786,39.466,43.513,0.372,0.359,0.265,0.307,0.324,-0.048,0.123,0.074,0.075,0.208,0.832
43.009,40.746,43.936,0.270,0.300,0.259,0.286,0.315,-0.029,0.131,0.084,0.078,0.216,0.799
42.003,40.690,43.180,0.310,0.271,0.317,0.282,0.285,-0.046,0.131,0.084,0.078,0.236,0.765
40.608,41.679,43.163,0.282,0.159,0.336,0.247,0.229,-0.075,0.135,0.085,0.078,0.260,0.738
41.679,40.946,43.199,0.208,0.195,0.206,0.269,0.261,-0.009,0.135,0.085,0.078,0.285,0.705
39.244,40.062,42.430,0.372,0.256,0.211,0.322,0.288,-0.035,0.095,0.071,0.084,0.309,0.673
40.319,39.280,38.855,0.297,0.443,0.324,0.308,0.383,-0.066,0.095,0.071,0.084,0.334,0.646
42.288,43.024,45.036,0.360,0.253,0.200,0.305,0.290,-0.005,0.074,0.065,0.084,0.359,0.615
44.704,44.873,45.851,0.206,0.146,0.186,0.284,0.239,0.013,0.074,0.065,0.084,0.390,0.585
43.063,42.687,42.813,0.266,0.238,0.267,0.311,0.295,-0.042,0.085,0.074,0.093,0.420,0.555
44.035,42.757,43.205,0.204,0.262,0.204,0.259,0.303,-0.002,0.131,0.090,0.128,0.451,0.531
42.141,42.567,43.542,0.307,0.313,0.259,0.295,0.316,-0.037,0.131,0.090,0.128,0.482,0.504
41.078,41.076,40.867,0.300,0.341,0.198,0.314,0.359,-0.012,0.196,0.154,0.145,0.513,0.477
41.543,42.240,44.332,0.278,0.225,0.180,0.283,0.269,-0.009,0.196,0.154,0.145,0.544,0.455
40.538,40.902,43.193,0.257,0.297,0.254,0.241,0.300,-0.033,0.290,0.296,0.225,0.579,0.428
39.816,39.969,41.224,0.444,0.334,0.205,0.350,0.305,-0.012,0.290,0.296,0.225,0.618,0.403
40.431,40.625,42.407,0.276,0.317,0.265,0.276,0.319,-0.017,0.275,0.276,0.252,0.665,0.384
40.602,41.664,43.186,0.242,0.220,0.276,0.275,0.287,-0.034,0.275,0.276,0.252,0.621,0.363
40.308,40.526,41.664,0.194,0.253,0.262,0.213,0.241,-0.046,0.375,0.360,0.365,0.555,0.344
40.168,40.016,41.227,0.210,0.295,0.310,0.196,0.271,-0.071,0.375,0.360,0.365,0.495,0.330
39.739,39.080,39.680,0.318,0.388,0.405,0.273,0.326,-0.095,0.421,0.324,0.299,0.435,0.314
